export_id,gender,age,edu,smoke,drink
61793,female,19.0,bachelor's degree,never smokes,never drinks
61809,female,18.0,bachelor's degree,never smokes,never drinks
61737,male,40.0,master's degree,never smokes,drinks occasionally (less than once a week)
61738,female,23.0,bachelor's degree,never smokes,never drinks
61739,female,21.0,bachelor's degree,never smokes,never drinks
61740,male,21.0,bachelor's degree,never smokes,never drinks
61741,male,22.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61742,male,22.0,bachelor's degree,current smoker (cumulative smoking >10 packs),drinks occasionally (less than once a week)
61743,male,18.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61744,female,19.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61745,female,18.0,bachelor's degree,never smokes,never drinks
61746,male,18.0,bachelor's degree,never smokes,never drinks
61747,male,22.0,bachelor's degree,never smokes,never drinks
61748,female,19.0,bachelor's degree,never smokes,never drinks
61749,female,19.0,bachelor's degree,never smokes,never drinks
61750,male,20.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61751,female,18.0,bachelor's degree,never smokes,never drinks
61752,female,21.0,bachelor's degree,never smokes,never drinks
61753,female,19.0,bachelor's degree,never smokes,never drinks
61754,female,18.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61755,male,27.0,bachelor's degree,current smoker (cumulative smoking >10 packs),drinks occasionally (less than once a week)
61756,male,18.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61757,female,18.0,bachelor's degree,never smokes,never drinks
61758,male,19.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61759,female,19.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61760,female,19.0,bachelor's degree,never smokes,never drinks
61761,female,19.0,bachelor's degree,never smokes,never drinks
61762,female,18.0,bachelor's degree,never smokes,never drinks
61763,female,19.0,bachelor's degree,never smokes,never drinks
61764,female,19.0,bachelor's degree,never smokes,never drinks
61765,male,19.0,bachelor's degree,never smokes,never drinks
61766,female,22.0,bachelor's degree,never smokes,never drinks
61767,male,18.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61768,female,18.0,bachelor's degree,never smokes,never drinks
61769,male,18.0,bachelor's degree,never smokes,never drinks
61770,female,18.0,bachelor's degree,never smokes,never drinks
61771,female,19.0,bachelor's degree,never smokes,never drinks
61772,female,17.0,bachelor's degree,never smokes,"drank in the past (more than once a week), but not in the past year"
61773,male,22.0,bachelor's degree,never smokes,never drinks
61774,female,21.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61775,female,18.0,bachelor's degree,never smokes,never drinks
61776,female,22.0,bachelor's degree,never smokes,never drinks
61777,female,17.0,bachelor's degree,never smokes,never drinks
61778,female,18.0,bachelor's degree,never smokes,never drinks
61779,female,19.0,bachelor's degree,never smokes,never drinks
61780,female,18.0,bachelor's degree,never smokes,never drinks
61781,female,20.0,bachelor's degree,never smokes,never drinks
61782,female,19.0,bachelor's degree,never smokes,never drinks
61783,male,21.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61784,female,23.0,bachelor's degree,never smokes,never drinks
61785,female,18.0,bachelor's degree,never smokes,never drinks
61786,female,18.0,bachelor's degree,never smokes,never drinks
61787,male,23.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61788,female,18.0,bachelor's degree,never smokes,never drinks
61789,female,19.0,bachelor's degree,never smokes,never drinks
61790,male,17.0,bachelor's degree,never smokes,never drinks
61791,male,18.0,bachelor's degree,never smokes,never drinks
61792,male,22.0,bachelor's degree,never smokes,never drinks
61794,male,19.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61795,female,18.0,bachelor's degree,never smokes,never drinks
61796,male,20.0,bachelor's degree,never smokes,never drinks
61797,male,18.0,bachelor's degree,never smokes,never drinks
61798,male,18.0,bachelor's degree,never smokes,never drinks
61799,female,18.0,bachelor's degree,never smokes,never drinks
61800,female,19.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61801,female,20.0,bachelor's degree,never smokes,never drinks
61802,male,19.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61803,female,22.0,bachelor's degree,never smokes,never drinks
61804,female,18.0,bachelor's degree,never smokes,never drinks
61805,male,21.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61806,male,19.0,bachelor's degree,never smokes,never drinks
61807,male,19.0,bachelor's degree,never smokes,never drinks
61808,female,18.0,bachelor's degree,never smokes,never drinks
61810,male,20.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61811,female,19.0,bachelor's degree,never smokes,never drinks
61812,female,18.0,bachelor's degree,never smokes,never drinks
61813,female,18.0,bachelor's degree,never smokes,never drinks
61814,female,18.0,bachelor's degree,never smokes,never drinks
61815,female,21.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61816,male,19.0,bachelor's degree,never smokes,never drinks
61817,female,19.0,bachelor's degree,never smokes,never drinks
61818,female,19.0,bachelor's degree,never smokes,never drinks
61819,male,20.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61820,male,19.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61821,male,20.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61822,female,19.0,bachelor's degree,never smokes,never drinks
61823,male,18.0,bachelor's degree,never smokes,never drinks
61824,female,20.0,bachelor's degree,never smokes,never drinks
61825,male,19.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61826,male,19.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61827,male,18.0,bachelor's degree,never smokes,drinks occasionally (less than once a week)
61828,female,18.0,bachelor's degree,never smokes,never drinks
61829,female,18.0,bachelor's degree,never smokes,never drinks
