export_id,score,question1,time1,question2,time2,question3,time3,question4,time4,question5,time5,question6,time6,question7,time7,question8,time8,question9,time9,question10,time10,question11,time11,question12,time12,question13,time13,question14,time14
61793,2,1,2.59,1,2.12,1,2.83,1,0.72,1,3.94,1,2.98,1,9.41,1,4.68,1,2.37,1,3.88,1,2.8,3,13.29,1,2.5,1,3.92
61809,21,2,5.1,1,3.97,1,0.97,5,0.77,5,0.78,2,11.83,4,4.47,2,3.64,2,8.5,5,2.78,1,1.91,2,3.29,2,5.04,1,3.62
61737,4,1,7.44,1,2.74,1,1.76,1,3.82,1,2.83,1,2.25,1,1.43,1,8.2,1,4.11,1,2.73,1,5.56,5,13.3,1,2.9,1,5.98
61738,28,1,1.18,1,1.25,1,0.59,5,0.5,5,0.48,5,0.5,5,0.59,1,0.68,5,0.5,5,0.55,1,1.04,1,0.34,5,0.48,1,2.15
61739,16,1,1.94,1,0.53,2,0.39,2,4.28,2,4.2,1,1.67,3,2.8,2,1.97,4,1.89,2,3.91,3,3.58,3,2.79,2,1.94,2,5.74
61740,15,1,2.82,2,4.29,1,3.39,2,3.24,2,2.52,2,1.33,2,1.22,2,2.83,2,4.16,5,1.08,1,1.72,2,2.6,4,1.7,1,4.5
61741,26,3,4.17,2,2.54,2,2.87,3,8.35,2,5.05,3,7.17,3,4.25,3,5.27,2,5.01,4,4.05,2,5.48,3,11.31,4,3.73,4,9.01
61742,2,1,0.81,1,0.58,1,1.21,2,0.44,1,4.29,2,1.37,1,1.41,1,5.18,1,4.63,1,1.5,1,2.25,1,2.63,1,1.38,1,3.13
61743,28,1,1.08,1,0.94,1,0.58,5,0.29,5,0.4,5,0.19,5,0.26,1,0.87,5,0.78,5,0.5,1,0.74,1,0.65,5,0.33,1,3.22
61744,3,1,1.19,1,1.7,2,1.46,1,3.36,1,3.62,1,1.52,1,1.04,2,5.4,1,3.36,1,2.09,1,2.43,2,12.71,1,2.48,1,3.57
61745,27,2,3.64,2,1.09,2,1.56,3,3.34,3,2.69,5,1.23,3,1.65,3,1.9,3,0.68,3,0.75,3,0.74,3,0.43,3,0.39,3,3.51
61746,29,2,5.71,3,0.77,3,1.25,4,0.46,3,0.17,4,0.3,3,1.18,3,1.34,4,0.76,3,0.49,2,0.38,4,0.43,3,0.4,2,2.08
61747,27,2,1.9,2,0.46,2,0.08,4,0.36,4,0.26,4,1.9,4,0.61,2,0.57,3,0.48,4,0.6,2,0.7,2,0.43,4,0.27,2,4.39
61748,19,2,2.62,1,0.75,1,0.65,1,2.13,2,3.79,2,1.89,1,2.14,2,5.54,2,2.25,4,2.05,3,2.07,5,3.35,3,2.0,4,3.76
61749,9,1,2.05,1,0.4,1,0.56,1,0.77,1,1.09,1,2.31,1,1.64,1,1.64,1,1.99,5,0.25,1,3.18,5,1.21,2,4.24,1,5.39
61750,8,1,2.96,1,1.01,1,0.63,1,3.81,5,1.49,1,1.57,1,1.11,1,2.95,1,1.65,1,1.07,1,1.12,5,2.27,1,0.89,1,2.79
61751,16,1,1.11,1,1.79,1,0.91,2,7.48,2,4.25,2,1.1,3,1.21,3,2.56,3,1.62,3,1.98,2,1.73,3,2.6,2,1.54,2,2.86
61752,13,2,2.16,1,2.15,2,0.97,4,4.01,1,10.7,1,9.85,2,2.35,2,4.21,1,3.57,1,1.73,2,4.47,5,5.78,1,1.51,2,8.51
61753,15,1,1.71,1,2.47,1,0.88,2,2.6,2,3.31,2,2.13,2,1.05,4,3.62,2,5.0,2,1.24,3,2.7,2,2.51,3,1.41,2,3.57
61754,32,3,2.36,2,1.66,2,0.97,3,1.82,4,1.34,4,1.19,4,1.26,3,1.97,4,1.39,4,1.39,3,2.42,3,1.65,4,1.12,3,3.49
61755,16,2,3.45,2,7.27,2,1.83,2,4.25,2,4.54,1,4.28,2,2.99,3,9.71,2,5.56,2,2.85,2,2.42,4,4.85,2,2.8,2,5.69
61756,19,2,6.35,2,2.93,1,1.89,2,3.52,2,3.31,1,3.72,3,2.88,3,5.81,2,5.04,4,2.32,1,2.92,4,3.63,4,2.43,2,6.05
61757,26,1,3.87,1,0.13,1,0.12,4,0.08,5,0.87,5,0.19,5,0.14,1,0.12,5,0.53,5,0.1,1,0.8,1,0.41,4,0.2,1,3.25
61758,14,2,4.7,2,2.92,2,2.94,2,5.89,2,14.66,3,6.03,3,5.15,3,9.8,2,8.79,2,7.36,1,4.78,2,7.92,1,6.45,1,9.26
61759,29,3,8.37,3,2.85,3,2.62,3,5.66,3,5.34,3,6.62,3,2.14,2,4.09,4,2.42,3,3.57,2,4.4,4,3.23,4,2.82,3,4.02
